qseqid,sample,pair_status,abundance,f_targets,r_targets
M03520:605:000000000-LVNKY:1:1111:19779:24224,sd30-1,matched_pair,1,RH.0550AF0F57084ADZ0Z,RH.0550AF0F57084ADZ0Z
M03520:605:000000000-LVNKY:1:2106:28534:10466,as25-3,matched_pair,1,RH.2A85EAE5DEAD471Z0Z,RH.2A85EAE5DEAD471Z0Z
M03520:605:000000000-LVNKY:1:2108:15672:28693,as15-1,matched_pair,1,RH.7CE39E25906745AZ0Z,RH.7CE39E25906745AZ0Z
M03520:605:000000000-LVNKY:1:2107:14957:4192,as10-1,matched_pair,2,RH.B5A2E3C1CC8E44AZ0Z,RH.B5A2E3C1CC8E44AZ0Z
M03520:605:000000000-LVNKY:1:1106:10605:5389,as30-3,matched_pair,3,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z
M03520:605:000000000-LVNKY:1:1107:19513:24186,as25-1,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:2108:10840:7848,sd25-3,matched_pair,1,RH.2091F326F74640CZ0Z,RH.2091F326F74640CZ0Z
M03520:605:000000000-LVNKY:1:2113:15152:13734,as10-3,matched_pair,1,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z
M03520:605:000000000-LVNKY:1:1107:11968:15597,as25-2,matched_pair,2,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:2103:2725:10632,as10-3,matched_pair,3,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:2101:27428:14090,as3-3,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:2107:9732:25978,sd25-2,matched_pair,1,RH.6572108A164E48EZ0Z,RH.6572108A164E48EZ0Z
M03520:605:000000000-LVNKY:1:1105:8935:5111,sd30-1,matched_pair,4,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:2114:24134:18932,sd30-1,matched_pair,1,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z
M03520:605:000000000-LVNKY:1:2109:12688:26507,sd10-1,matched_pair,1,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:1108:15869:28699,as7-2,matched_pair,2,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:2101:25557:22399,as7-2,matched_pair,1,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z
M03520:605:000000000-LVNKY:1:1108:26166:15846,as3-3,matched_pair,2,RH.0BD19D1A26A74EBZ0Z,RH.0BD19D1A26A74EBZ0Z
M03520:605:000000000-LVNKY:1:1108:2655:18485,sd20-2,matched_pair,1,RH.69CEA0AC39F4445Z0Z,RH.69CEA0AC39F4445Z0Z
M03520:605:000000000-LVNKY:1:2104:20605:15661,as15-1,matched_pair,1,RH.44DCEC943BED412Z0Z,RH.44DCEC943BED412Z0Z
M03520:605:000000000-LVNKY:1:2108:17060:21665,as10-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1109:14835:25988,as15-3,matched_pair,1,RH.0C6EF86AB29A422Z0Z,RH.0C6EF86AB29A422Z0Z
M03520:605:000000000-LVNKY:1:1106:21393:27993,as15-1,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:1104:10234:15152,sd25-2,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1110:9341:19419,as15-2,matched_pair,1,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z
M03520:605:000000000-LVNKY:1:1107:18314:4211,as7-2,matched_pair,3,RH.CA1E204B0C0842DZ0Z,RH.CA1E204B0C0842DZ0Z
M03520:605:000000000-LVNKY:1:2110:15015:15832,sd7-1,matched_pair,1,RH.9CE451C90696466Z0Z,RH.9CE451C90696466Z0Z
M03520:605:000000000-LVNKY:1:2106:17553:12655,sd10-3,matched_pair,2,RH.0096A141894D447Z0Z,RH.0096A141894D447Z0Z
M03520:605:000000000-LVNKY:1:1107:21729:23143,as25-2,matched_pair,1,RH.77300263E6F14F3Z0Z,RH.77300263E6F14F3Z0Z
M03520:605:000000000-LVNKY:1:1107:7130:25308,as20-1,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:2105:25963:19852,as20-2,matched_pair,1,RH.7CE39E25906745AZ0Z,RH.7CE39E25906745AZ0Z
M03520:605:000000000-LVNKY:1:2109:18797:11051,as25-3,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1106:7029:9621,sd10-2,matched_pair,1,RH.CF953F27F5674E1Z0Z,RH.CF953F27F5674E1Z0Z
M03520:605:000000000-LVNKY:1:2110:6721:8921,sd20-1,matched_pair,1,RH.2AFFFBA0E81C482Z0Z,RH.2AFFFBA0E81C482Z0Z
M03520:605:000000000-LVNKY:1:1101:20683:21684,as3-3,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:2112:6007:5759,as10-2,matched_pair,1,RH.B9EF730EBE6C436Z0Z,RH.B9EF730EBE6C436Z0Z
M03520:605:000000000-LVNKY:1:1101:7734:11629,as7-1,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1113:22801:20340,as15-2,matched_pair,1,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z
M03520:605:000000000-LVNKY:1:1105:18887:18985,sd10-1,matched_pair,1,RH.27578A9A85FA4A3Z0Z,RH.27578A9A85FA4A3Z0Z
M03520:605:000000000-LVNKY:1:2106:14822:25043,as20-2,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:2102:14356:3531,as15-1,matched_pair,1,RH.6408CE975B5340AZ0Z,RH.6408CE975B5340AZ0Z
M03520:605:000000000-LVNKY:1:1106:21042:24006,as10-3,matched_pair,1,RH.DDB83AFF97C94C6Z0Z,RH.DDB83AFF97C94C6Z0Z
M03520:605:000000000-LVNKY:1:1110:7569:15262,as30-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1105:9301:7785,as3-2,chimera,1,RH.17B3832C9C1D403Z0Z,RH.B3BF5B8B809244BZ0Z
M03520:605:000000000-LVNKY:1:1112:6336:5417,as3-2,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1111:24937:14923,as3-2,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:1108:10400:25559,as15-3,chimera,1,RH.44333617E8F04C0Z0Z,RH.C597F0BA65D4481Z0Z
M03520:605:000000000-LVNKY:1:2110:8581:12392,as20-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1101:20740:4669,as20-3,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:2114:9336:8525,as3-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1105:19789:26235,as25-1,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
M03520:605:000000000-LVNKY:1:1105:19658:7070,as7-2,chimera,1,RH.3B2B2BB86AB94D3Z0Z,RH.64613722763148BZ0Z
