M03520:605:000000000-LVNKY:1:1112:21753:8165;size=1	A00405_539_HLLNCDSX3_4_1406_19262_13119_1_287_+_7e2b216f62b2af90b0db370fe85efc1c	96.800	125	4	1.13e-56	209	151
M03520:605:000000000-LVNKY:1:1109:3435:13221;size=1	A00405_539_HLLNCDSX3_4_2125_28320_31532_1_265_+_2b6907e9654dfa193507240b96a92523	97.143	105	3	3.20e-47	178	151
M03520:605:000000000-LVNKY:1:2114:27294:21332;size=1	A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7	99.329	149	1	5.13e-75	270	151
M03520:605:000000000-LVNKY:1:2101:3104:16966;size=1	A00405_539_HLLNCDSX3_4_1334_11930_16266_1_258_+_048a394d3695a8abb0c425f7d9b7201d	99.180	122	1	5.24e-60	220	151
M03520:605:000000000-LVNKY:1:2114:6911:16983;size=1	A00405_539_HLLNCDSX3_4_1133_19199_19492_1_294_-_f696211bbf33e2824c01aee2ec50bcfe	100.000	118	0	1.88e-59	219	151
M03520:605:000000000-LVNKY:1:2114:6911:16983;size=1	A00405_539_HLLNCDSX3_4_1165_26124_18364_1_289_-_92dcb437b5cfeea75f7a8f87a187a684	88.889	117	9	4.19e-36	141	151
M03520:605:000000000-LVNKY:1:2114:6911:16983;size=1	A00405_539_HLLNCDSX3_4_1376_6533_24893_1_250_+_5e735dddc9ed98f764e786e6c938d9b8	79.245	106	20	1.55e-15	73.1	151
M03520:605:000000000-LVNKY:1:2113:19073:23358;size=1	A00405_539_HLLNCDSX3_4_2375_18032_36793_1_294_+_5a260901400c54ea43f4ad67a663e52d	99.265	136	1	8.64e-68	246	151
M03520:605:000000000-LVNKY:1:2113:19073:23358;size=1	A00405_539_HLLNCDSX3_4_2140_30463_36620_1_268_-_efd71567aa19975e277c347d16477d1d	81.373	102	13	3.34e-17	78.7	151
M03520:605:000000000-LVNKY:1:2108:11747:26391;size=1	A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7	97.315	149	4	5.16e-70	254	151
M03520:605:000000000-LVNKY:1:1101:13361:25787;size=1	A00405_539_HLLNCDSX3_4_1434_17553_6433_1_291_+_7a051464df892a132e7368b8e9d3c73a	99.219	128	1	2.42e-63	231	151
M03520:605:000000000-LVNKY:1:2114:22398:11284;size=1	A00405_539_HLLNCDSX3_4_2354_31494_20306_1_293_+_9fc4ba7df13b38a1122bbfdc70b1bfa7	97.987	149	3	1.11e-71	259	151
M03520:605:000000000-LVNKY:1:1110:29287:18528;size=1	A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6	98.013	151	3	8.58e-73	263	151
M03520:605:000000000-LVNKY:1:1108:9147:18826;size=1	A00405_539_HLLNCDSX3_4_1154_13485_33489_5_274_-_d073362756742bb4412cb50ca2f1f2c4	99.167	120	1	6.77e-59	217	151
M03520:605:000000000-LVNKY:1:2102:18411:17609;size=1	A00405_539_HLLNCDSX3_4_2413_23728_18349_1_294_+_5c8cf276bfb8a016a1079c51251bc7d6	99.338	151	1	3.96e-76	274	151
M03520:605:000000000-LVNKY:1:2113:12826:25160;size=1	A00405_539_HLLNCDSX3_4_1135_23131_33567_1_267_+_b0cfbfabb12219d199fb6efdaebd78dc	97.600	125	2	8.76e-58	213	151
M03520:605:000000000-LVNKY:1:1103:13283:11393;size=1	A00405_539_HLLNCDSX3_4_2541_11713_30514_1_274_-_2c2a3b35643d8a4c21b4ba8e96d8f8fb	98.540	137	2	3.11e-67	244	151
M03520:605:000000000-LVNKY:1:1105:19002:9118;size=1	A00405_539_HLLNCDSX3_4_2307_13196_28291_1_273_+_08c022a9cdf0c7266ffcd5bb231ae69a	98.000	150	3	3.09e-72	261	151
M03520:605:000000000-LVNKY:1:1105:19002:9118;size=1	A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36	100.000	69	0	3.27e-32	128	151
M03520:605:000000000-LVNKY:1:1105:19002:9118;size=1	A00405_539_HLLNCDSX3_4_2428_6090_14794_1_294_-_80eeeb5dde92ef47ef076603c990b2f7	100.000	69	0	3.27e-32	128	151
M03520:605:000000000-LVNKY:1:1105:27879:11091;size=1	A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484	99.130	115	1	4.08e-56	207	151
M03520:605:000000000-LVNKY:1:2111:8247:3838;size=1	A00405_539_HLLNCDSX3_4_2559_5222_28855_1_281_+_d018e6be0562b948d905a6ea5eb08fa3	99.296	142	1	3.99e-71	257	151
M03520:605:000000000-LVNKY:1:1108:14041:9548;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	100.000	116	0	2.44e-58	215	151
M03520:605:000000000-LVNKY:1:1108:14041:9548;size=1	A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af	93.506	77	5	2.54e-28	115	151
M03520:605:000000000-LVNKY:1:1108:14041:9548;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	95.455	66	3	1.53e-25	106	151
M03520:605:000000000-LVNKY:1:2108:27680:12334;size=1	A00405_539_HLLNCDSX3_4_2236_24614_29841_1_293_+_04ca48409a1ee33b09ee3f0431a9bece	99.338	151	1	3.96e-76	274	151
M03520:605:000000000-LVNKY:1:2111:17403:15275;size=1	A00405_539_HLLNCDSX3_4_1376_32127_13041_1_265_-_8914d8be84f43f05a5e4db3ee0ff4b85	99.213	127	1	8.70e-63	230	151
